priority,business_name,phone,phone_type,category,city,state,source,discovery_method,website,is_sole_proprietor,found_at
standard,DEBORAH ADAMS AND MATT DECHAUME,8174712277,mobile,trucking/logistics,JOSHUA,TX,fmcsa_census,,,,
standard,DEDICATED AND RESPONSIBLE TRANSPORT LLC,9459003102,mobile,trucking/logistics,VENUS,TX,fmcsa_census,,,,
standard,PEDRO ALAVEZ,2146055337,mobile,trucking/logistics,SPRINGTOWN,TX,fmcsa_census,,,,
standard,ACON AGGREGATE LLC,8173665838,mobile,trucking/logistics,WEATHERFORD,TX,fmcsa_census,,,,
standard,VALIANT EQUINE TRANSPORT LIMITED LIABILITY COMPANY,9404527177,mobile,trucking/logistics,MINERAL WELLS,TX,fmcsa_census,,,,
standard,PINNACLE 360 LOGISTICS LLC,8173665980,mobile,trucking/logistics,BURLESON,TX,fmcsa_census,,,,
standard,MOTIV8 LOGISTICS LLC,2148863751,mobile,trucking/logistics,HASLET,TX,fmcsa_census,,,,
standard,GLYNN MOVERS,6822290371,mobile,trucking/logistics,SPRINGTOWN,TX,fmcsa_census,,,,
standard,SILVER AA TRUCKING LLC,9403894842,mobile,trucking/logistics,PARADISE,TX,fmcsa_census,,,,
standard,TWY ENTERPRISES INC,8175944289,mobile,trucking/logistics,WEATHERFORD,TX,fmcsa_census,,,,
standard,S5 TRUCKING,8177711130,mobile,trucking/logistics,GRANBURY,TX,fmcsa_census,,,,
standard,LOAD IT DOWN LOGISTICS,5808122130,mobile,trucking/logistics,WEATHERFORD,TX,fmcsa_census,,,,
standard,SANDRA C MARTINEZ A,2148179546,mobile,trucking/logistics,PARADISE,TX,fmcsa_census,,,,
standard,CROSS B ROCKING SERVICES LLC,9404527989,mobile,trucking/logistics,MINERAL WELLS,TX,fmcsa_census,,,,
standard,JOE ANZALDUA,9406316970,mobile,trucking/logistics,WEATHERFORD,TX,fmcsa_census,,,,
standard,JOE ANZALDUA,9406316907,mobile,trucking/logistics,WEATHERFORD,TX,fmcsa_census,,,,
standard,JERRY STRAIN,9373139786,mobile,trucking/logistics,MINERAL WELLS,TX,fmcsa_census,,,,
standard,JERRY STRAIN,9406828595,mobile,trucking/logistics,MINERAL WELLS,TX,fmcsa_census,,,,
standard,AL & AM TRANSPORT LLC,8176819283,mobile,trucking/logistics,VENUS,TX,fmcsa_census,,,,
standard,DLH XPRESS CARGO,2818029773,mobile,trucking/logistics,GRANBURY,TX,fmcsa_census,,,,
standard,CENTENNIAL TRANSPORT LLC,3039443737,mobile,trucking/logistics,WEATHERFORD,TX,fmcsa_census,,,,
standard,DALLAS A COCHRAN JR,8175280956,mobile,trucking/logistics,WEATHERFORD,TX,fmcsa_census,,,,
standard,MONTY MONTGOMERY,7132912752,mobile,trucking/logistics,JOSHUA,TX,fmcsa_census,,,,
standard,IN A PINCH LOGISTICS LLC,9404522790,mobile,trucking/logistics,MINERAL WELLS,TX,fmcsa_census,,,,
standard,ANDERSON ROLLOFF LLC,8643544666,mobile,trucking/logistics,WEATHERFORD,TX,fmcsa_census,,,,
standard,WITHERSPOON BROOKS & BING TRANSPORTATION LLC,6824236767,mobile,trucking/logistics,MANSFIELD,TX,fmcsa_census,,,,
standard,HISSHO LOGISTICS LLC,4694921047,mobile,trucking/logistics,MANSFIELD,TX,fmcsa_census,,,,
standard,NASKO TRANSPORTATION,8173742621,mobile,trucking/logistics,WILLOW PARK,TX,fmcsa_census,,,,
standard,JBM BUILDING MATERIALS LLC,8176255510,mobile,trucking/logistics,JOSHUA,TX,fmcsa_census,,,,
standard,ZUMA'S CRANE & RIGGING LLC,8177761449,mobile,trucking/logistics,GRANBURY,TX,fmcsa_census,,,,
standard,TEXAS CONCRETE RESTORATION INC,2143172226,mobile,trucking/logistics,MIDLOTHIAN,TX,fmcsa_census,,,,
standard,TRINITY RV RENTALS LLC,8172711472,mobile,trucking/logistics,MIDLOTHIAN,TX,fmcsa_census,,,,
standard,DGR TX TRUCKING LLC,8172097992,mobile,trucking/logistics,GRANBURY,TX,fmcsa_census,,,,
